	Unnamed: 0	belief	argument	label	explanation	generated_explanation	random_explanation
0	142	urbanization creates high crime.	People migrate to cities in order to make money.	counter	(cities; capable of; job)(job; used for; make money)(make money; is not a; crime)(make money; created by; urbanization)	cities _atlocation shopping mall usedfor urbanization	high has property tall has property skyscrapers has a cities 
1	1066	executives are not overpaid for the work they do.	Executives work quite hard and deserve their pay.	support	(executives; capable of; work quite hard)(work quite hard; capable of; deserve their pay)(deserve their pay; synonym of; not overpaid)	executives _usedfor serving justice causes not overpaid	work has property hard 
2	2334	Telemarketers has nothing to offer only to rip people off their money	Not all telemarketers are scammers most have enough to offer when you have your money to pay	counter	(telemarketers; capable of; enough to offer)(enough to offer; not has context; rip people off)(enough to offer; not has context; scammers)	telemarketers _isa scammers	people at location apartment used for buying_small causes pay 
3	94	Embryotic stem cells can save lives	Embryotic stem cells are something that is in the interest of science	support	(embryotic stem cells; capable of; interest of science)(embryotic stem cells; capable of; assist with research)(assist with research; causes; medical discovery)(medical discovery; capable of; save lives)	embryotic stem cells isa stem cell _hasprerequisite make grow motivatedbygoal save lives	stem part of plant part of body at location cells 
4	1508	The olympics have lost their luster because with drugs being involved, they don't have the prestige they used to have.	Athletes are tested for drugs and can't compete if illegal substances are found.	counter	(athletes; capable of; tested for drugs)(tested for drugs; capable of; illegal substances)(illegal substances; causes; can't compete)(olympics; has property; athletes)(illegal substances; synonym of; drugs)(clean olympics; has property; retain prestige)(can't compete; causes; clean olympics)	athletes capableof clean olympics	olympics at location athlete is a person not desires drugs 
5	1407	Racial profiling causes discrimination	Racial profiling shouldn't be allowed as it allows for racism.	support	(racial profiling; part of; racism)(racism; not desires; be allowed)(racism; causes; discrimination)	racial profiling isa discrimination	profiling has context historical has context player has context gaming has context racial 
6	342	Cosmetic surgery is bad.	Autonomy is promoted by cosmetic surgery.	counter	(cosmetic surgery; causes; autonomy)(autonomy; part of; self esteem)(self esteem; is not a; bad)	cosmetic surgery _isa plastic surgery hasproperty bad	surgery is a artifact part of plant is a henna is a cosmetic 
7	2165	People are deterred from committing criminal acts by the death penalty.	If someone knows they can die from doing a crime they are less likely to do it.	support	(death penalty; causes; criminal killed)(criminal killed; has context; severe punishment)(severe punishment; capable of; deterring others)(deterring others; not causes; committing criminal acts)(criminal killed; synonym of; die)(committing criminal acts; synonym of; crime)	death penalty isa crime	people has a person not desires crime 
8	1538	targeted killing makes the people in the area angry and more radicalized	sometimes dangerous people are cunning and hard to catch.	counter	(targeted killing; has context; dangerous people)(dangerous people; capable of; cunning)(dangerous people; capable of; harder to catch)(dangerous people; is a; threat)(threat; not capable of; angry)(threat; not capable of; more radicalized)	targeted killing hascontext terrorism hasproperty more radicalized	killing causes funeral at location people 
9	1976	prostitution has been in existence for long and should not be illegal	Most people that are into prostitution are forced into it and it should not be allowed	counter	(prostitution; not has context; long standing)(long standing; synonym of; existence for long)(prostitution; has context; forced into it)(forced into it; desires; illegal)(long standing; desires; illegal)(forced into it; synonym of; harmful)	prostitution hasproperty harmful	illegal has property drugs causes desire get_money_from has subevent prostitution 
